policy,value
1,-5.407787
0,-1.000000
0,-2.000000
0,-3.000000
0,-4.000000
0,-5.000000
0,-6.000000
0,-7.000000
1,-7.447238
1,-7.163601
1,-6.848450
1,-6.498280
1,-6.109202
1,-5.676893
0,-5.000000
0,-4.000000
0,-3.000000
0,-2.000000
0,-1.000000
1,-5.867006
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
1,-5.407787
1,-5.330601
1,-5.514725
1,-5.880516
1,-6.371327
1,-6.936283
1,-7.489676
1,-7.702510
1,-7.447238
1,-7.163601
1,-6.848450
1,-6.498280
1,-6.109202
1,-5.676893
1,-5.393097
1,-5.468703
1,-5.807469
1,-6.177043
1,-6.280303
1,-5.867006
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
0,0.000000
