policy,value
1,5.314355
1,5.904845
1,6.560945
5,7.289945
1,5.904845
1,6.560945
5,7.289945
5,7.289945
1,6.560945
5,7.289945
5,7.289945
4,7.289945
6,7.289945
5,7.289945
4,7.289945
4,7.289945
1,5.314355
1,5.904845
1,6.560945
1,6.560945
1,5.904845
1,6.560945
1,6.560945
0,6.560945
1,6.560945
1,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
1,5.314355
1,5.904845
1,5.904845
0,5.904845
1,5.904845
1,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
1,5.314355
1,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
0,5.314355
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
5,8.099945
1,6.560945
1,7.289945
5,8.099945
5,8.099945
2,7.289945
6,8.099945
5,8.099945
4,8.099945
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,7.289945
1,6.560945
1,7.289945
1,7.289945
0,7.289945
2,7.289945
1,7.289945
0,7.289945
0,7.289945
1,5.314355
1,5.904845
1,6.560945
1,6.560945
1,5.904845
1,6.560945
1,6.560945
0,6.560945
1,6.560945
1,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
1,5.314355
1,5.904845
1,5.904845
0,5.904845
1,5.904845
1,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
0,5.904845
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,8.099945
1,6.560945
1,7.289945
1,8.099945
5,8.999945
2,7.289945
2,8.099945
6,8.999945
5,8.999945
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,8.099945
1,6.560945
1,7.289945
1,8.099945
1,8.099945
2,7.289945
2,8.099945
1,8.099945
0,8.099945
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,7.289945
1,6.560945
1,7.289945
1,7.289945
0,7.289945
2,7.289945
1,7.289945
0,7.289945
0,7.289945
1,5.314355
1,5.904845
1,6.560945
1,6.560945
1,5.904845
1,6.560945
1,6.560945
0,6.560945
1,6.560945
1,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
0,6.560945
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,8.099945
1,6.560945
1,7.289945
1,8.099945
1,8.999945
2,7.289945
2,8.099945
2,8.999945
1,9.999945
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,8.099945
1,6.560945
1,7.289945
1,8.099945
1,8.999945
2,7.289945
2,8.099945
2,8.999945
1,8.999945
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,8.099945
1,6.560945
1,7.289945
1,8.099945
1,8.099945
2,7.289945
2,8.099945
1,8.099945
0,8.099945
1,5.314355
1,5.904845
1,6.560945
1,7.289945
1,5.904845
1,6.560945
1,7.289945
1,7.289945
1,6.560945
1,7.289945
1,7.289945
0,7.289945
2,7.289945
1,7.289945
0,7.289945
0,7.289945
